id,words,chars,mistakes,accuracy,time,points,wpm
1,49,237,7,0.969,24.915,91,118
2,86,405,13,0.969,45.664,160,113
3,69,367,13,0.965,35.085,132,118
4,56,264,8,0.969,27.769,103,121
5,53,269,8,0.968,27.179,103,117
6,45,232,5,0.972,21.429,94,126
7,25,145,4,0.975,13.761,44,109
8,114,541,16,0.971,56.529,212,121
9,43,266,12,0.954,24.34,76,106
10,138,782,11,0.976,66.774,190,124
11,63,351,12,0.965,34.054,115,111
12,114,704,13,0.95,66.408,87,103
13,33,176,9,0.921,20.625,50,96
14,79,445,13,0.955,47.879,76,99
15,54,260,8,0.969,26.557,106,122
16,57,291,9,0.963,29.231,112,117
17,57,306,12,0.955,30.811,104,111
18,119,573,25,0.954,66.111,207,108
19,83,473,17,0.959,43.684,158,114
20,76,410,5,0.969,36.774,75,124
21,67,317,9,0.97,32.683,131,123
22,63,246,9,0.966,32.308,84,117
23,29,192,7,0.95,16.731,49,104
24,97,491,18,0.953,54.393,171,107
25,49,229,7,0.959,28,82,105
26,70,321,19,0.934,45.652,105,92
27,65,304,11,0.963,33.913,121,115
28,45,237,7,0.971,22.689,85,119
29,52,266,13,0.947,31.2,85,100
30,28,151,1,0.994,12.632,56,133
31,36,209,11,0.941,22.268,58,97
32,97,478,13,0.963,51.053,172,114
33,65,304,11,0.95,36.111,113,108
34,37,189,9,0.951,20.556,67,108
35,108,487,15,0.972,53.115,211,122
36,124,606,17,0.97,60.984,235,122
37,48,331,16,0.938,30.638,75,94
38,65,384,12,0.968,36.111,114,108
39,65,304,7,0.971,31.2,132,125
40,53,239,10,0.958,26.281,99,121
41,37,176,6,0.955,20.556,61,108
42,78,389,19,0.951,43.333,136,108
43,69,351,7,0.975,32.598,140,127
44,45,203,5,0.97,21.094,89,128
45,42,213,8,0.961,23.119,76,109
46,64,316,12,0.96,35.229,109,109
47,59,294,11,0.96,31.327,113,113
48,79,451,16,0.961,38.852,160,122
49,48,257,7,0.972,25.043,92,115
50,58,302,6,0.974,26.364,128,132
51,132,711,18,0.949,76.154,128,104
52,80,461,17,0.958,44.444,145,108
53,52,249,6,0.966,25.366,96,123
54,42,192,7,0.966,21.356,77,118
55,29,165,2,0.989,13.083,60,133
56,31,149,9,0.936,18.235,53,102
57,43,213,5,0.964,20.156,91,128
58,56,301,8,0.965,28.475,110,118
59,78,381,17,0.953,43.738,137,107
60,39,229,10,0.958,22.5,68,104
61,58,272,10,0.958,33.143,91,105
62,24,157,6,0.962,13.091,44,110
63,49,258,2,0.989,21.94,107,134
64,57,310,7,0.966,26.929,117,127
65,52,305,10,0.959,27.611,94,113
66,57,310,11,0.96,29.739,106,115
67,39,174,5,0.964,17.863,79,131
68,94,437,10,0.97,45.854,178,123
69,46,260,8,0.97,21.069,100,131
70,55,317,10,0.966,28.696,106,115
71,120,657,20,0.963,66.055,218,109
72,33,147,6,0.957,17.368,59,114
73,45,239,7,0.968,22.314,90,121
74,44,240,4,0.977,21.639,87,122
75,49,248,5,0.982,22.105,108,133
76,19,102,1,0.991,8.028,45,142
77,42,215,9,0.957,21.538,80,117
78,36,179,8,0.958,17.419,75,124
79,42,257,13,0.948,25.2,68,100
80,60,339,6,0.966,29.032,124,124
81,74,366,9,0.967,40.364,128,110
82,31,144,8,0.942,16.909,57,110
83,44,253,8,0.966,23.158,83,114
84,125,641,18,0.97,62.5,245,120
85,33,170,6,0.955,18.333,59,108
86,24,146,6,0.942,14.545,39,99
87,53,308,9,0.97,26.5,100,120
88,43,282,11,0.959,22.832,79,113
89,43,233,7,0.959,20.64,87,125
90,36,204,7,0.958,17.419,72,124
91,53,289,9,0.966,26.281,107,121
92,51,210,10,0.949,30.297,83,101
93,11,50,2,0.95,5.739,19,115
94,71,335,11,0.965,35.798,127,119
95,79,434,15,0.964,40.169,155,118
96,96,476,22,0.949,51.429,167,112
97,42,219,10,0.953,22.703,78,111
98,57,299,10,0.959,28.5,110,120
99,81,427,11,0.972,38.571,173,126
100,63,374,11,0.968,33.451,125,113
